model_key,model_label,lens,variant,final_layer,samples,sequence_win_rate,first_token_win_rate,sequence_margin,avg_token_margin,geometric_mean_perplexity_ratio,first_token_margin,replacement_rank,deprecated_rank,stable_depth_reach_rate,mean_stable_depth_when_reached,mean_stable_depth_with_fallback
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,logit_lens,official_base,31,43,0.7674,0.7442,6.1764,1.0824,2.9518,2.7617,1.186,4.6744,0.7674,20.6061,23.2558
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,logit_lens,anchored_dpo,31,43,0.9535,0.9535,45.1757,15.0847,3557979.75,33.2581,1.186,264.6744,0.9535,20.8293,21.3488
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,tuned_lens,official_base,31,43,0.8605,0.8605,7.8199,1.7731,5.8891,4.3863,1.1395,5.3721,0.8605,14.7568,17.1628
deepseek_coder_6_7b_instruct,DeepSeek-Coder-6.7B-Instruct,tuned_lens,anchored_dpo,31,43,0.9535,0.9302,41.4572,13.5513,767814.0625,29.7579,1.1628,220.8605,0.9535,5.9756,7.186
qwen2_5_coder_14b_instruct,Qwen2.5-Coder-14B-Instruct,logit_lens,official_base,47,43,0.2791,0.2558,-4.8215,-1.1106,0.3293,-7.3504,3543.1395,813.0233,0.2791,15.4167,38.907
qwen2_5_coder_14b_instruct,Qwen2.5-Coder-14B-Instruct,logit_lens,anchored_dpo,47,43,0.9767,0.9767,22.9476,8.7664,6415.2407,11.9806,3.907,646.8372,0.9767,27.4286,27.907
qwen2_5_coder_14b_instruct,Qwen2.5-Coder-14B-Instruct,tuned_lens,official_base,47,43,0.2326,0.093,-11.6608,-5.2947,0.005,-14.7824,10809.4419,4103.8837,0.2326,9.2,38.9767
qwen2_5_coder_14b_instruct,Qwen2.5-Coder-14B-Instruct,tuned_lens,anchored_dpo,47,43,0.4884,0.3953,20.0061,6.7763,876.831,2.9564,325.3953,501.5581,0.4884,15.2381,32.0
qwen2_5_coder_3b_instruct,Qwen2.5-Coder-3B-Instruct,logit_lens,official_base,35,43,0.2791,0.2558,-4.4523,-1.5146,0.2199,-6.1893,1789.9535,250.7907,0.2791,5.1667,27.3953
qwen2_5_coder_3b_instruct,Qwen2.5-Coder-3B-Instruct,logit_lens,anchored_dpo,35,43,0.9302,0.8837,19.1218,6.5692,712.7756,9.4865,2.4419,575.1163,0.9302,23.025,23.9302
qwen2_5_coder_3b_instruct,Qwen2.5-Coder-3B-Instruct,tuned_lens,official_base,35,43,0.2791,0.2558,-4.5514,-1.6521,0.1916,-6.3277,1573.4186,268.3721,0.2791,0.0,25.9535
qwen2_5_coder_3b_instruct,Qwen2.5-Coder-3B-Instruct,tuned_lens,anchored_dpo,35,43,0.9302,0.8837,21.4158,6.4733,647.6182,10.3071,7.093,733.2791,0.9302,4.85,7.0233
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,logit_lens,official_base,27,43,0.2791,0.2558,-5.6302,-1.5129,0.2203,-7.2681,4986.3256,282.6744,0.2791,4.4167,21.4186
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,logit_lens,anchored_dpo,27,43,0.9767,0.9535,25.5534,9.3337,11312.8164,12.7312,3.2558,812.2093,0.9767,17.7143,17.9535
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,tuned_lens,official_base,27,43,0.2791,0.2558,-5.6804,-1.508,0.2214,-7.3248,4985.3488,284.186,0.2791,6.6667,22.0465
qwen2_5_coder_7b_instruct,Qwen2.5-Coder-7B-Instruct,tuned_lens,anchored_dpo,27,43,0.8837,0.7907,17.6755,7.7268,2268.3557,4.8256,42.9767,861.3721,0.8837,9.6842,11.814
starcoder2_15b,StarCoder2-15B,logit_lens,official_base,39,43,0.4419,0.4419,1.8136,0.0867,1.0906,0.1453,1.6744,2.8372,0.4419,22.2632,32.1628
starcoder2_15b,StarCoder2-15B,logit_lens,anchored_dpo,39,43,1.0,1.0,39.9914,19.2729,234487088.0,28.9685,1.0233,11030.7907,1.0,19.9535,19.9535
starcoder2_15b,StarCoder2-15B,tuned_lens,official_base,39,43,0.4186,0.4651,4.0708,0.8731,2.3944,1.0071,2.6512,9.6744,0.4186,15.7222,29.8372
starcoder2_15b,StarCoder2-15B,tuned_lens,anchored_dpo,39,43,1.0,0.9767,243.8246,142.1473,inf,204.6064,1.6977,24509.093,1.0,2.186,2.186
starcoder2_3b,StarCoder2-3B,logit_lens,official_base,29,43,0.3488,0.4419,4.4954,-0.4068,0.6658,0.7334,1.6977,4.0465,0.3488,9.5333,22.8605
starcoder2_3b,StarCoder2-3B,logit_lens,anchored_dpo,29,43,1.0,0.9767,37.976,17.4551,38077984.0,25.4438,1.0233,11376.814,1.0,18.0698,18.0698
starcoder2_3b,StarCoder2-3B,tuned_lens,official_base,29,43,0.3488,0.4884,4.5967,-0.373,0.6886,0.8062,1.6512,4.1628,0.3488,1.8667,20.186
starcoder2_3b,StarCoder2-3B,tuned_lens,anchored_dpo,29,43,1.0,0.9767,43.6713,19.6068,327427488.0,30.4577,1.1395,11761.814,1.0,0.0,0.0
starcoder2_7b,StarCoder2-7B,logit_lens,official_base,31,43,0.3721,0.3488,2.0534,0.1607,1.1743,0.1423,1.907,4.6977,0.3721,12.3125,24.6744
starcoder2_7b,StarCoder2-7B,logit_lens,anchored_dpo,31,43,1.0,0.9767,39.3755,17.9854,64707508.0,26.0632,1.0233,9167.2558,1.0,18.4651,18.4651
starcoder2_7b,StarCoder2-7B,tuned_lens,official_base,31,43,0.3721,0.3256,1.0388,-0.9022,0.4057,-0.8601,9.0233,5.1628,0.3721,7.25,22.7907
starcoder2_7b,StarCoder2-7B,tuned_lens,anchored_dpo,31,43,1.0,0.9767,37.2913,16.6365,16793096.0,24.4779,1.0233,7540.3488,1.0,0.7209,0.7209
