layer,module,prefix,rows,cols,fro_norm,mean_abs,q50_abs,q90_abs,q95_abs,q99_abs,max_abs,sparsity_below_epsilon
0,q_proj,base_model.model.model.layers.0.self_attn.q_proj,4608,4608,0.19391223788261414,3.111837213509716e-05,2.3656342818867415e-05,6.781082629458979e-05,8.659280865686014e-05,0.00013122275413479656,0.00042972867959178984,0.023866206407546997
0,k_proj,base_model.model.model.layers.0.self_attn.k_proj,512,4608,0.0749748945236206,3.409747296245769e-05,2.372723611188121e-05,7.640592230018228e-05,0.0001033903899951838,0.00017014260811265558,0.00043471017852425575,0.0238825473934412
0,v_proj,base_model.model.model.layers.0.self_attn.v_proj,512,4608,0.07250336557626724,3.5140863474225625e-05,2.675853465916589e-05,7.58942260290496e-05,9.742269321577623e-05,0.0001463771768612787,0.0004017414466943592,0.0207943394780159
0,o_proj,base_model.model.model.layers.0.self_attn.o_proj,4608,4608,0.2403271645307541,3.803086656262167e-05,2.8165228286525235e-05,8.36152394185774e-05,0.00010825512435985729,0.00016874443099368364,0.0005995457759127021,0.02004745788872242
1,q_proj,base_model.model.model.layers.1.self_attn.q_proj,4608,4608,0.17753799259662628,2.889301504183095e-05,2.232572660432197e-05,6.217139889486134e-05,7.870486297179013e-05,0.00011895268835360184,0.00037468428490683436,0.025028228759765625
1,k_proj,base_model.model.model.layers.1.self_attn.k_proj,512,4608,0.04379858449101448,2.1913258024142124e-05,1.7332598872599192e-05,4.701759462477639e-05,5.805854016216472e-05,8.135526877595112e-05,0.00018671175348572433,0.032095592468976974
1,v_proj,base_model.model.model.layers.1.self_attn.v_proj,512,4608,0.07483852654695511,3.5880795621778816e-05,2.6689089281717315e-05,7.84319854574278e-05,9.973498526960611e-05,0.00015122727199923247,0.00047501586959697306,0.021476320922374725
1,o_proj,base_model.model.model.layers.1.self_attn.o_proj,4608,4608,0.2567926049232483,4.127218198846094e-05,3.122085036011413e-05,8.993693336378783e-05,0.00011529845505720004,0.00017635383119340986,0.0005497439415194094,0.017880946397781372
2,q_proj,base_model.model.model.layers.2.self_attn.q_proj,4608,4608,0.13616181910037994,2.2007719962857664e-05,1.6784510080469772e-05,4.794587948708795e-05,6.112619303166866e-05,9.159086039289832e-05,0.00027186094666831195,0.033198460936546326
2,k_proj,base_model.model.model.layers.2.self_attn.k_proj,512,4608,0.040954530239105225,2.0141749700997025e-05,1.553917900309898e-05,4.350673407316208e-05,5.4462241678265855e-05,7.87057651905343e-05,0.00021174212452024221,0.0358140729367733
2,v_proj,base_model.model.model.layers.2.self_attn.v_proj,512,4608,0.08186344802379608,3.816047319560312e-05,2.7144291379954666e-05,8.528414036845788e-05,0.00011196411651326343,0.00017477691289968789,0.00043275117059238255,0.02129703015089035
2,o_proj,base_model.model.model.layers.2.self_attn.o_proj,4608,4608,0.2770085632801056,4.2209368984913453e-05,2.8615013434318826e-05,9.701507951831445e-05,0.0001283608580706641,0.00019873604469466954,0.0006996058509685099,0.020377594977617264
3,q_proj,base_model.model.model.layers.3.self_attn.q_proj,4608,4608,0.18445566296577454,2.910648072429467e-05,2.1393134375102818e-05,6.268568540690467e-05,8.146745676640421e-05,0.0001278857671422884,0.00042794246110133827,0.02610962465405464
3,k_proj,base_model.model.model.layers.3.self_attn.k_proj,512,4608,0.04682036489248276,2.2799649741500616e-05,1.7315482182311825e-05,4.981282472726889e-05,6.290715100476518e-05,9.186069655697793e-05,0.0002446809667162597,0.0323605015873909
3,v_proj,base_model.model.model.layers.3.self_attn.v_proj,512,4608,0.07727201282978058,3.696597195812501e-05,2.7617335945251398e-05,8.084379078354686e-05,0.00010409782407805324,0.0001600617979420349,0.000464105571154505,0.020512474700808525
3,o_proj,base_model.model.model.layers.3.self_attn.o_proj,4608,4608,0.31109318137168884,4.7803372581256554e-05,3.2991967600537464e-05,0.0001092832608264871,0.00014379748608916998,0.0002235310967080295,0.0008359314524568617,0.017516760155558586
4,q_proj,base_model.model.model.layers.4.self_attn.q_proj,4608,4608,0.16912956535816193,2.6458566935616545e-05,1.9350914953975007e-05,5.824853724334389e-05,7.652387284906581e-05,0.00012151255214121193,0.0004051837604492903,0.02913905866444111
4,k_proj,base_model.model.model.layers.4.self_attn.k_proj,512,4608,0.04938042536377907,2.430379026918672e-05,1.897002584883012e-05,5.196606434765272e-05,6.559403846040368e-05,9.657936607254669e-05,0.00022370042279362679,0.0293426513671875
4,v_proj,base_model.model.model.layers.4.self_attn.v_proj,512,4608,0.09238790720701218,4.298178828321397e-05,3.037521310034208e-05,9.751533070812002e-05,0.00012707311543636024,0.00019526638789102435,0.0005653240950778127,0.01964908093214035
4,o_proj,base_model.model.model.layers.4.self_attn.o_proj,4608,4608,0.34427863359451294,5.218815567786805e-05,3.4613098250702024e-05,0.00011996985995210707,0.0001590073952684179,0.00024890416534617543,0.0008244872442446649,0.017118901014328003
5,q_proj,base_model.model.model.layers.5.self_attn.q_proj,4608,4608,0.2220219224691391,3.499442391330376e-05,2.5753815862117335e-05,7.771372474962845e-05,0.00010074934834847227,0.000157947710249573,0.0006758033996447921,0.022128116339445114
5,k_proj,base_model.model.model.layers.5.self_attn.k_proj,512,4608,0.08724632114171982,3.7723562854807824e-05,2.5689816538942978e-05,8.056907972786576e-05,0.00011503851419547573,0.00021815930085722357,0.0007104871328920126,0.0218802560120821
5,v_proj,base_model.model.model.layers.5.self_attn.v_proj,512,4608,0.10104633867740631,4.71624152851291e-05,3.31649134750478e-05,0.00010764382022898644,0.00013967169797979295,0.0002117677213391289,0.0005861612735316157,0.017737070098519325
5,o_proj,base_model.model.model.layers.5.self_attn.o_proj,4608,4608,0.3559609353542328,5.418992441263981e-05,3.533661219989881e-05,0.0001229687622981146,0.00016230840992648154,0.00025086995447054505,0.0007859800825826824,0.01622079871594906
6,q_proj,base_model.model.model.layers.6.self_attn.q_proj,4608,4608,0.23522111773490906,3.567972089513205e-05,2.445735299261287e-05,8.085724402917549e-05,0.00010732468217611313,0.0001711622899165377,0.0005724777583964169,0.02385876514017582
6,k_proj,base_model.model.model.layers.6.self_attn.k_proj,512,4608,0.07220250368118286,3.396560714463703e-05,2.458586823195219e-05,7.540505612269044e-05,9.846403554547578e-05,0.00015312418690882623,0.0003758412494789809,0.0231331717222929
6,v_proj,base_model.model.model.layers.6.self_attn.v_proj,512,4608,0.08408769965171814,4.078115671291016e-05,3.077396468142979e-05,8.890630851965398e-05,0.00011285048094578087,0.00016650468751322478,0.00046003994066268206,0.018467796966433525
6,o_proj,base_model.model.model.layers.6.self_attn.o_proj,4608,4608,0.35440120100975037,5.4513304348802194e-05,3.806870518019423e-05,0.00012601226626429707,0.00016522285295650363,0.00025414887932129204,0.0008126794709824026,0.015523086301982403
7,q_proj,base_model.model.model.layers.7.self_attn.q_proj,4608,4608,0.17816632986068726,2.7791993488790467e-05,2.0056413632119074e-05,6.104096974013373e-05,8.002675167517737e-05,0.00012893446546513587,0.000396805553464219,0.028014902025461197
7,k_proj,base_model.model.model.layers.7.self_attn.k_proj,512,4608,0.03997153043746948,1.9615587007137947e-05,1.5151726984186098e-05,4.2136976844631135e-05,5.317390605341643e-05,7.88509933045134e-05,0.00019628653535619378,0.036269716918468475
7,v_proj,base_model.model.model.layers.7.self_attn.v_proj,512,4608,0.10734108090400696,5.006097853765823e-05,3.5363787901587784e-05,0.0001141164539149031,0.00014812109293416142,0.0002267205563839525,0.0005394754116423428,0.017014821991324425
7,o_proj,base_model.model.model.layers.7.self_attn.o_proj,4608,4608,0.3948964774608612,5.960139606031589e-05,3.94495073123835e-05,0.0001440296764485538,0.00018916017143055797,0.0002881517284549773,0.000848886847961694,0.015683868899941444
8,q_proj,base_model.model.model.layers.8.self_attn.q_proj,4608,4608,0.19645418226718903,3.105757059529424e-05,2.2804902982898057e-05,6.886253686388955e-05,8.917346713133156e-05,0.00013760733418166637,0.000433737674029544,0.024692300707101822
8,k_proj,base_model.model.model.layers.8.self_attn.k_proj,512,4608,0.06231348216533661,2.9544442440965213e-05,2.2053580323699862e-05,6.365426088450477e-05,8.28169213491492e-05,0.00013306544860824943,0.0003754876379389316,0.02530754916369915
8,v_proj,base_model.model.model.layers.8.self_attn.v_proj,512,4608,0.10765065997838974,5.05878560943529e-05,3.633625965449028e-05,0.00011390446888981387,0.00014781793288420886,0.00022645584249403328,0.0005438246880657971,0.015948401764035225
8,o_proj,base_model.model.model.layers.8.self_attn.o_proj,4608,4608,0.37512722611427307,5.904192948946729e-05,4.229403202771209e-05,0.000130682805320248,0.00017071477486751974,0.00026116319349966943,0.0007924449746496975,0.013297469355165958
9,q_proj,base_model.model.model.layers.9.self_attn.q_proj,4608,4608,0.19194911420345306,3.1747393222758546e-05,2.5000546884257346e-05,6.78412543493323e-05,8.429069566773251e-05,0.00012201375648146495,0.0003225429682061076,0.022182276472449303
9,k_proj,base_model.model.model.layers.9.self_attn.k_proj,512,4608,0.05849888548254967,2.972620859509334e-05,2.4292188754770905e-05,6.262271926971152e-05,7.641120464541018e-05,0.00010475770977791399,0.00025503974757157266,0.0224456787109375
9,v_proj,base_model.model.model.layers.9.self_attn.v_proj,512,4608,0.10707221925258636,5.115779640618712e-05,3.756833393708803e-05,0.00011354195885360241,0.0001453412405680865,0.0002162635064451024,0.0005435164785012603,0.0153359305113554
9,o_proj,base_model.model.model.layers.9.self_attn.o_proj,4608,4608,0.3698863983154297,5.6868273532018065e-05,3.9073209336493164e-05,0.00012971294927410781,0.0001719257707009092,0.0002652594994287938,0.0008659101440571249,0.015022513456642628
10,q_proj,base_model.model.model.layers.10.self_attn.q_proj,4608,4608,0.22752025723457336,3.62530117854476e-05,2.689295433810912e-05,7.916460890555754e-05,0.00010151067544938996,0.00015521010209340602,0.0005156794795766473,0.020910145714879036
10,k_proj,base_model.model.model.layers.10.self_attn.k_proj,512,4608,0.06262976676225662,3.1373863748740405e-05,2.496058186807204e-05,6.676116754533723e-05,8.208832878153771e-05,0.00011595409159781411,0.0002823361137416214,0.02210235595703125
10,v_proj,base_model.model.model.layers.10.self_attn.v_proj,512,4608,0.09999988973140717,4.841939880861901e-05,3.692096652230248e-05,0.00010500074131414294,0.00013355459668673575,0.00020160790882073343,0.00058493681717664,0.015424516052007675
10,o_proj,base_model.model.model.layers.10.self_attn.o_proj,4608,4608,0.3864971995353699,5.9314847021596506e-05,4.065199027536437e-05,0.00013438666064757854,0.00017671291425358504,0.00027279468486085534,0.0008854811312630773,0.014582222327589989
11,q_proj,base_model.model.model.layers.11.self_attn.q_proj,4608,4608,0.21169544756412506,3.435338658164255e-05,2.583811874501407e-05,7.35089197405614e-05,9.311822213931009e-05,0.00013823648623656482,0.000370229099644348,0.021395789459347725
11,k_proj,base_model.model.model.layers.11.self_attn.k_proj,512,4608,0.06741198897361755,3.363612268003635e-05,2.6474273909116164e-05,7.170066965045407e-05,8.893057383829728e-05,0.00012673858145717531,0.0002948658657260239,0.020554861053824425
11,v_proj,base_model.model.model.layers.11.self_attn.v_proj,512,4608,0.11936470121145248,5.592219531536102e-05,3.947679215343669e-05,0.00012766584404744208,0.00016497433534823358,0.0002487941237632185,0.0005967883625999093,0.0149680245667696
11,o_proj,base_model.model.model.layers.11.self_attn.o_proj,4608,4608,0.3843543231487274,6.0026046412531286e-05,4.296338011045009e-05,0.00013650022447109222,0.00017765109078027308,0.0002685030340217054,0.0008923336281441152,0.013621200807392597
12,q_proj,base_model.model.model.layers.12.self_attn.q_proj,4608,4608,0.20799443125724792,3.394581290194765e-05,2.602070162538439e-05,7.287353946594521e-05,9.173256694339216e-05,0.00013576410128735006,0.00048081233398988843,0.021460922434926033
12,k_proj,base_model.model.model.layers.12.self_attn.k_proj,512,4608,0.06511803716421127,3.2768555684015155e-05,2.6310470275348052e-05,6.957261939533055e-05,8.557721594115719e-05,0.00011894227645825595,0.0002724774822127074,0.0208723284304142
12,v_proj,base_model.model.model.layers.12.self_attn.v_proj,512,4608,0.13129061460494995,6.181251956149936e-05,4.465191886993125e-05,0.00013804178161080927,0.00018070495571009815,0.00027882138965651393,0.0006558851455338299,0.0128021240234375
12,o_proj,base_model.model.model.layers.12.self_attn.o_proj,4608,4608,0.4162920117378235,6.425332685466856e-05,4.414507566252723e-05,0.000148353457916528,0.00019602618704084307,0.00029742217157036066,0.0009191826684400439,0.013170878402888775
13,q_proj,base_model.model.model.layers.13.self_attn.q_proj,4608,4608,0.26626744866371155,4.169987005298026e-05,3.033727261936292e-05,9.295385098084807e-05,0.00012125242938054726,0.0001882883079815656,0.0006235951441340148,0.018875405192375183
13,k_proj,base_model.model.model.layers.13.self_attn.k_proj,512,4608,0.09117337316274643,4.4518717913888395e-05,3.3916781831067055e-05,9.749324090080336e-05,0.00012304184201639146,0.000178126894752495,0.0004518519854173064,0.0164939034730196
13,v_proj,base_model.model.model.layers.13.self_attn.v_proj,512,4608,0.12365899980068207,5.95434830756858e-05,4.467047256184742e-05,0.00013006964582018554,0.00016730302013456821,0.0002515133819542825,0.0006769562605768442,0.01249737199395895
13,o_proj,base_model.model.model.layers.13.self_attn.o_proj,4608,4608,0.37829142808914185,5.957715256954543e-05,4.3323805584805086e-05,0.00013301332364790142,0.00017323336214758456,0.00026359184994362295,0.000770716811530292,0.013279149308800697
14,q_proj,base_model.model.model.layers.14.self_attn.q_proj,4608,4608,0.28224116563796997,4.3827621993841603e-05,3.0732313462067395e-05,9.879689605440944e-05,0.00012983859051018953,0.0002017192600760609,0.0006520716124214232,0.018701059743762016
14,k_proj,base_model.model.model.layers.14.self_attn.k_proj,512,4608,0.07778970152139664,3.817994365817867e-05,2.9465812986018136e-05,8.226413774536923e-05,0.00010366643982706591,0.00015247547707986087,0.0003657913766801357,0.018700918182730675
14,v_proj,base_model.model.model.layers.14.self_attn.v_proj,512,4608,0.1267712563276291,6.119013414718211e-05,4.5899072574684396e-05,0.0001345263299299404,0.000171796084032394,0.00025610983720980585,0.000690783082973212,0.0122150843963027
14,o_proj,base_model.model.model.layers.14.self_attn.o_proj,4608,4608,0.3771761357784271,6.059056977392174e-05,4.610343603417277e-05,0.0001329993101535365,0.00016943758237175643,0.00025543582160025835,0.0009023185120895505,0.012325993739068508
15,q_proj,base_model.model.model.layers.15.self_attn.q_proj,4608,4608,0.2513689696788788,4.032819560961798e-05,3.011721491930075e-05,8.76492922543548e-05,0.00011233035911573097,0.00017045543063431978,0.0005281404010020196,0.018748953938484192
15,k_proj,base_model.model.model.layers.15.self_attn.k_proj,512,4608,0.09525097906589508,4.561747482512146e-05,3.39153666573111e-05,0.0001000021438812837,0.00012904891627840698,0.00019616374629549682,0.0005715996958315372,0.0166905727237463
15,v_proj,base_model.model.model.layers.15.self_attn.v_proj,512,4608,0.14149627089500427,6.691273301839828e-05,4.8737729230197147e-05,0.0001489701244281605,0.0001921577932080254,0.0002958949189633131,0.0008048312156461179,0.0118238665163517
