layer,module,prefix,rows,cols,fro_norm,mean_abs,q50_abs,q90_abs,q95_abs,q99_abs,max_abs,sparsity_below_epsilon
15,o_proj,base_model.model.model.layers.15.self_attn.o_proj,4608,4608,0.43711331486701965,6.849759665783495e-05,4.8665693611837924e-05,0.00015508182696066797,0.0002006718423217535,0.00030407262966036797,0.0009764608112163842,0.011941321194171906
16,q_proj,base_model.model.model.layers.16.self_attn.q_proj,4608,4608,0.3040481507778168,4.634119977708906e-05,3.097537410212681e-05,0.00010567178105702624,0.00013921222125645727,0.0002169963699998334,0.0006170450360514224,0.019083470106124878
16,k_proj,base_model.model.model.layers.16.self_attn.k_proj,512,4608,0.10007643699645996,4.834757055505179e-05,3.644609387265518e-05,0.00010649304022081196,0.00013548272545449436,0.0002014605124713853,0.00047574122436344624,0.015416886657476425
16,v_proj,base_model.model.model.layers.16.self_attn.v_proj,512,4608,0.1527027189731598,7.07941289874725e-05,4.9742593546397984e-05,0.00016009065438993275,0.00020914297783747315,0.00032705289777368307,0.0008387519046664238,0.01172468438744545
16,o_proj,base_model.model.model.layers.16.self_attn.o_proj,4608,4608,0.4223947823047638,6.736388604622334e-05,4.9527312512509525e-05,0.0001500626385677606,0.000191724015166983,0.00028662147815339267,0.0007728062919341028,0.011623005382716656
17,q_proj,base_model.model.model.layers.17.self_attn.q_proj,4608,4608,0.332375168800354,5.093116851639934e-05,3.5336466680746526e-05,0.00011518832616275176,0.00015107182844076306,0.0002371905866311863,0.0008080882835201919,0.016610557213425636
17,k_proj,base_model.model.model.layers.17.self_attn.k_proj,512,4608,0.08518803864717484,4.23885285272263e-05,3.3354466722812504e-05,8.976623939815909e-05,0.000111629422463011,0.00016168929869309068,0.0004136510833632201,0.0163294468075037
17,v_proj,base_model.model.model.layers.17.self_attn.v_proj,512,4608,0.16614516079425812,7.788295624777675e-05,5.503233114723116e-05,0.00017753345309756696,0.00023069871531333774,0.0003496123244985938,0.0008656962309032679,0.010348849929869175
17,o_proj,base_model.model.model.layers.17.self_attn.o_proj,4608,4608,0.5122004747390747,7.907790131866932e-05,5.506200614036061e-05,0.00018468072812538594,0.00024098607536870986,0.0003637518675532192,0.0009921754244714975,0.010995747521519661
18,q_proj,base_model.model.model.layers.18.self_attn.q_proj,4608,4608,0.30519989132881165,4.680205893237144e-05,3.228348941775039e-05,0.00010559087968431413,0.0001397242012899369,0.0002240329486085102,0.0007957142079249024,0.017947962507605553
18,k_proj,base_model.model.model.layers.18.self_attn.k_proj,512,4608,0.10094301402568817,4.911170617560856e-05,3.730172829818912e-05,0.00010707750334404409,0.00013588259753305465,0.00020004293764941394,0.000449155893875286,0.0151519775390625
18,v_proj,base_model.model.model.layers.18.self_attn.v_proj,512,4608,0.15287642180919647,7.313574315048754e-05,5.374731699703261e-05,0.00016369261720683426,0.00020908881560899317,0.000306337809888646,0.0007475154125131667,0.011118147522211075
18,o_proj,base_model.model.model.layers.18.self_attn.o_proj,4608,4608,0.45293688774108887,7.193895726231858e-05,5.276551382848993e-05,0.00015899285790510476,0.00020481247338466346,0.00030708126723766327,0.0008471860201098025,0.010862233117222786
19,q_proj,base_model.model.model.layers.19.self_attn.q_proj,4608,4608,0.28292033076286316,4.4235388486413285e-05,3.197722617187537e-05,9.821425919653848e-05,0.00012825160229112953,0.00020217042765580118,0.0006556222215294838,0.01784524880349636
19,k_proj,base_model.model.model.layers.19.self_attn.k_proj,512,4608,0.07225754857063293,3.591317363316193e-05,2.831086385413073e-05,7.705147436354309e-05,9.638685151003301e-05,0.00013756417320109904,0.00032785869552753866,0.01944986917078495
19,v_proj,base_model.model.model.layers.19.self_attn.v_proj,512,4608,0.16750024259090424,7.85669035394676e-05,5.5443335440941155e-05,0.0001802699116524309,0.00023257175053004175,0.0003461390151642263,0.0009093875996768475,0.01085493341088295
19,o_proj,base_model.model.model.layers.19.self_attn.o_proj,4608,4608,0.4599200487136841,7.257869583554566e-05,5.219352897256613e-05,0.00016234457143582404,0.0002120709395967424,0.00032154686050489545,0.0009190309210680425,0.010797947645187378
20,q_proj,base_model.model.model.layers.20.self_attn.q_proj,4608,4608,0.3869369626045227,5.94287266721949e-05,4.1406914533581585e-05,0.0001362894254270941,0.00018006865866482258,0.0002786984550766647,0.0008288066019304097,0.01425641868263483
20,k_proj,base_model.model.model.layers.20.self_attn.k_proj,512,4608,0.11111138761043549,5.461549881147221e-05,4.233900108374655e-05,0.00011857404751935974,0.00014852304593659937,0.00021617047605104744,0.0005380107904784381,0.01312298234552145
20,v_proj,base_model.model.model.layers.20.self_attn.v_proj,512,4608,0.1688126176595688,8.064187568379566e-05,5.9644236898748204e-05,0.00017891255265567452,0.00023009190044831485,0.0003477789869066328,0.0009568131645210087,0.009624481201171875
20,o_proj,base_model.model.model.layers.20.self_attn.o_proj,4608,4608,0.4893588721752167,7.883684156695381e-05,5.862686157342978e-05,0.00017451953317504376,0.00022225412249099463,0.00032529671443626285,0.0009031220688484609,0.009629473090171814
21,q_proj,base_model.model.model.layers.21.self_attn.q_proj,4608,4608,0.29396069049835205,4.5319520722841844e-05,3.163653309457004e-05,0.0001024073499138467,0.00013489332923199981,0.0002122841397067532,0.0006945392233319581,0.018395647406578064
21,k_proj,base_model.model.model.layers.21.self_attn.k_proj,512,4608,0.1067969799041748,5.0190163165098056e-05,3.562210622476414e-05,0.00011407364945625886,0.000148208491737023,0.0002226341748610139,0.0004934024182148278,0.01604461669921875
21,v_proj,base_model.model.model.layers.21.self_attn.v_proj,512,4608,0.16812348365783691,8.018084918148816e-05,5.843273538630456e-05,0.00018019016715697944,0.00023022815003059804,0.00033924070885404944,0.0008840208174660802,0.0101398890838027
21,o_proj,base_model.model.model.layers.21.self_attn.o_proj,4608,4608,0.5227904319763184,8.151817019097507e-05,5.7727818784769624e-05,0.00018331767932977527,0.00024009383923839778,0.00036712802830152214,0.001181052764877677,0.009992952458560467
22,q_proj,base_model.model.model.layers.22.self_attn.q_proj,4608,4608,0.3197154104709625,4.9952694098465145e-05,3.581231430871412e-05,0.00011305622319923714,0.00014824446407146752,0.00022535819152835757,0.0006183501100167632,0.016164425760507584
22,k_proj,base_model.model.model.layers.22.self_attn.k_proj,512,4608,0.10104043036699295,4.9637390475254506e-05,3.8529578887391835e-05,0.00010670192568795756,0.00013436259177979082,0.00019836814317386597,0.0004651784256566316,0.0145729910582304
22,v_proj,base_model.model.model.layers.22.self_attn.v_proj,512,4608,0.1935427188873291,9.123969357460737e-05,6.497405411209911e-05,0.000208799508982338,0.0002673412091098726,0.0003943382471334189,0.0009376958478242159,0.0089704729616642
22,o_proj,base_model.model.model.layers.22.self_attn.o_proj,4608,4608,0.4744144678115845,7.646391168236732e-05,5.782188236480579e-05,0.00016728353512007743,0.00021258681954350322,0.0003168242401443422,0.0009595143492333591,0.009740570560097694
23,q_proj,base_model.model.model.layers.23.self_attn.q_proj,4608,4608,0.3247663974761963,5.0416689191479236e-05,3.583339275792241e-05,0.00011288731184322387,0.00014748991816304624,0.0002363591775065288,0.0007250892813317478,0.016039341688156128
23,k_proj,base_model.model.model.layers.23.self_attn.k_proj,512,4608,0.09009768813848495,4.506335608311929e-05,3.564485450624488e-05,9.63110796874389e-05,0.00011931116023333743,0.00016669924661982805,0.00038642770959995687,0.01544062327593565
23,v_proj,base_model.model.model.layers.23.self_attn.v_proj,512,4608,0.17036139965057373,7.997501234058291e-05,5.657481960952282e-05,0.00018370288307778537,0.0002375094627495855,0.0003519875754136592,0.000910942442715168,0.0105599295347929
23,o_proj,base_model.model.model.layers.23.self_attn.o_proj,4608,4608,0.4508282542228699,7.273250230355188e-05,5.534689989872277e-05,0.000160550931468606,0.00020524216233752668,0.00030912848887965083,0.0009126107906922698,0.010135085321962833
24,q_proj,base_model.model.model.layers.24.self_attn.q_proj,4608,4608,0.289227694272995,4.510187136474997e-05,3.26645458699204e-05,9.839001722866669e-05,0.0001282265002373606,0.00020569629850797355,0.0008111735223792493,0.017345145344734192
24,k_proj,base_model.model.model.layers.24.self_attn.k_proj,512,4608,0.08580409735441208,4.294546306482516e-05,3.429022035561502e-05,9.100668830797076e-05,0.00011283029016340151,0.00016152557509485632,0.000365441053872928,0.0159140694886446
24,v_proj,base_model.model.model.layers.24.self_attn.v_proj,512,4608,0.16593831777572632,7.781377644278109e-05,5.5357173550873995e-05,0.0001755014091031626,0.00022813033137936145,0.00034387761843390763,0.0009050669614225626,0.0106031633913517
24,o_proj,base_model.model.model.layers.24.self_attn.o_proj,4608,4608,0.4141491949558258,6.700193625874817e-05,5.0731992814689875e-05,0.00014531212218571454,0.00018530627130530775,0.00027870808844454587,0.0007699037669226527,0.011038744822144508
25,q_proj,base_model.model.model.layers.25.self_attn.q_proj,4608,4608,0.2530008852481842,4.027820614282973e-05,2.9930695745861158e-05,9.00274608284235e-05,0.00011552147770999,0.00017476700304541737,0.0005357140325941145,0.019285695627331734
25,k_proj,base_model.model.model.layers.25.self_attn.k_proj,512,4608,0.09622365236282349,4.720199285657145e-05,3.658808418549597e-05,0.00010124649998033419,0.00012768105079885572,0.0001898895570775494,0.00044967210851609707,0.015148162841796875
25,v_proj,base_model.model.model.layers.25.self_attn.v_proj,512,4608,0.130194753408432,6.361014675348997e-05,4.8499783588340506e-05,0.0001386469666613266,0.00017457109061069787,0.00025431206449866295,0.0006134272553026676,0.011631011962890625
25,o_proj,base_model.model.model.layers.25.self_attn.o_proj,4608,4608,0.32864344120025635,5.518061516340822e-05,4.4355387217365205e-05,0.0001156652215286158,0.00014296821609605104,0.0002025229623541236,0.000615490775089711,0.012309368699789047
26,q_proj,base_model.model.model.layers.26.self_attn.q_proj,4608,4608,0.2607164978981018,4.173902198090218e-05,3.076575376326218e-05,9.06438726815395e-05,0.00011647706560324878,0.00017623769235797226,0.000520383648108691,0.018093014135956764
26,k_proj,base_model.model.model.layers.26.self_attn.k_proj,512,4608,0.08183678984642029,3.997862950200215e-05,3.0433751817326993e-05,8.732917194720358e-05,0.00011004770203726366,0.00016071213758550584,0.00040838742279447615,0.01834699884057045
26,v_proj,base_model.model.model.layers.26.self_attn.v_proj,512,4608,0.2027086764574051,9.240315557690337e-05,6.15046446910128e-05,0.00021887874754611403,0.00028691469924524426,0.00043158739572390914,0.0009871642105281353,0.0102403424680233
26,o_proj,base_model.model.model.layers.26.self_attn.o_proj,4608,4608,0.42732617259025574,6.907709030201659e-05,5.18916203873232e-05,0.00015025475295260549,0.00019278701802249998,0.00029100035317242146,0.000859213003423065,0.010691560804843903
27,q_proj,base_model.model.model.layers.27.self_attn.q_proj,4608,4608,0.2676540017127991,4.1757266444619745e-05,2.968778062495403e-05,9.16176795726642e-05,0.00011973002983722836,0.00018880997959058732,0.0006963512278161943,0.019007552415132523
27,k_proj,base_model.model.model.layers.27.self_attn.k_proj,512,4608,0.0782303735613823,3.9265421946765855e-05,3.1455710995942354e-05,8.354723104275763e-05,0.00010310320067219436,0.0001450903801014647,0.0003483993641566485,0.0175442174077034
27,v_proj,base_model.model.model.layers.27.self_attn.v_proj,512,4608,0.20068176090717316,9.251444862456992e-05,6.269700679695234e-05,0.00021765162819065154,0.00028338690754026175,0.00042096900870092213,0.0010399260791018605,0.009908040054142475
27,o_proj,base_model.model.model.layers.27.self_attn.o_proj,4608,4608,0.425161212682724,6.899636355228722e-05,5.35439612576738e-05,0.0001509458088548854,0.00019311327196191996,0.00028719427064061165,0.0008983014267869294,0.010630384087562561
28,q_proj,base_model.model.model.layers.28.self_attn.q_proj,4608,4608,0.2732698619365692,4.406223524711095e-05,3.2879746868275106e-05,9.607875108486041e-05,0.00012181337660877034,0.00018128362717106938,0.0005109629710204899,0.017116311937570572
28,k_proj,base_model.model.model.layers.28.self_attn.k_proj,512,4608,0.07739149034023285,3.895010013366118e-05,3.1351246434496716e-05,8.241408067988232e-05,0.00010131295857718214,0.00014299576287157834,0.00030867295572534204,0.0174874197691679
28,v_proj,base_model.model.model.layers.28.self_attn.v_proj,512,4608,0.17166577279567719,8.268243254860863e-05,6.173864676384255e-05,0.0001843354693846777,0.0002342515654163435,0.000341720471624285,0.0008394377073273063,0.009274376556277275
28,o_proj,base_model.model.model.layers.28.self_attn.o_proj,4608,4608,0.43064817786216736,7.082350930431858e-05,5.528356632567011e-05,0.0001518066565040499,0.00019107393745798618,0.0002783731324598193,0.000781993439886719,0.00998132023960352
29,q_proj,base_model.model.model.layers.29.self_attn.q_proj,4608,4608,0.31246015429496765,4.9117603339254856e-05,3.570269109332003e-05,0.00010996478522429243,0.0001426022354280576,0.0002193663822254166,0.000668379245325923,0.016179120168089867
29,k_proj,base_model.model.model.layers.29.self_attn.k_proj,512,4608,0.1113070398569107,5.4105272283777595e-05,4.1075487388297915e-05,0.00011764806549763307,0.00014992132491897792,0.00022398449073079973,0.0005439568194560707,0.0136349992826581
29,v_proj,base_model.model.model.layers.29.self_attn.v_proj,512,4608,0.2047291249036789,9.521227912046015e-05,6.598932668566704e-05,0.0002209562371717766,0.0002869396412279457,0.0004305057227611542,0.001197021920233965,0.008969624526798725
29,o_proj,base_model.model.model.layers.29.self_attn.o_proj,4608,4608,0.5866996049880981,9.160563058685511e-05,6.336434307741001e-05,0.00020692829275503755,0.00026967053418047726,0.00040683732368052006,0.0011327649699524045,0.00899585708975792
30,q_proj,base_model.model.model.layers.30.self_attn.q_proj,4608,4608,0.4962638020515442,7.225179433589801e-05,4.574823105940595e-05,0.00017283405759371817,0.00023350247647613287,0.00038398467586375773,0.0009798419196158648,0.013783490285277367
30,k_proj,base_model.model.model.layers.30.self_attn.k_proj,512,4608,0.136729896068573,6.30337672191672e-05,4.44832730863709e-05,0.00014038843801245093,0.00018798418750520796,0.00030254077864810824,0.0007114147301763296,0.01256391778588295
30,v_proj,base_model.model.model.layers.30.self_attn.v_proj,512,4608,0.22093845903873444,0.00010538618516875431,7.673863728996366e-05,0.00023756682639941573,0.00030344194965437055,0.00044330896344035864,0.0009578245226293802,0.0076760184019804
30,o_proj,base_model.model.model.layers.30.self_attn.o_proj,4608,4608,0.5024104714393616,8.21740977698937e-05,6.292863690759987e-05,0.00017570155614521354,0.00022329363855533302,0.0003303904668428004,0.0007908231345936656,0.008662046864628792
31,q_proj,base_model.model.model.layers.31.self_attn.q_proj,4608,4608,0.4490533471107483,6.979882891755551e-05,4.8999281716533005e-05,0.00015770561003591865,0.000205996839213185,0.0003159782791044563,0.0008414860931225121,0.011759486980736256
31,k_proj,base_model.model.model.layers.31.self_attn.k_proj,512,4608,0.1461542695760727,7.22499389667064e-05,5.653753032675013e-05,0.00015562426415272057,0.00019461270130705088,0.00027823771233670413,0.0006299361120909452,0.01000934187322855
31,v_proj,base_model.model.model.layers.31.self_attn.v_proj,512,4608,0.24407029151916504,0.00011745475785573944,8.630149386590347e-05,0.00026403117226436734,0.00033410009928047657,0.00048316968604922295,0.0010334999533370137,0.0068537392653524876
31,o_proj,base_model.model.model.layers.31.self_attn.o_proj,4608,4608,0.609944760799408,9.782604320207611e-05,7.188080053310841e-05,0.0002148517669411376,0.0002734434383455664,0.00039819363155402243,0.001116332714445889,0.007854743860661983
